Ntop TotalCurrent(n173_des) X,Ntop TotalCurrent(n173_des) Y
0,-2.611609e-17
0,-1.9008025e-20
0,1.6744626e-15
0,2.4656524e-15
0,3.0357954e-15
0,3.5348084e-15
0,4.0013254e-15
0,4.4521221e-15
0,4.8904839e-15
0,5.3152829e-15
0,5.7256981e-15
0,6.1211673e-15
0,6.1225966e-15
-0.5,7.6655602e-15
-1,8.9487193e-15
-1.5,1.0053276e-14
-2,1.0987912e-14
-2.5,1.1711967e-14
-3,1.2265591e-14
-3.5,1.273255e-14
-4,1.3103347e-14
-4.5,1.3377308e-14
-5,1.3597277e-14
-5.5,1.3761851e-14
-6,1.389044e-14
-6.5,1.3970067e-14
-7,1.4049783e-14
-7.5,1.4102469e-14
-8,1.4128125e-14
-8.5,1.4202432e-14
-9,1.4221756e-14
-9.5,1.4263108e-14
-10,1.4265198e-14
-10.5,1.4296345e-14
-11,1.4309047e-14
-11.5,1.4328726e-14
-12,1.4358842e-14
-12.5,1.4360211e-14
-13,1.439245e-14
-13.5,1.4384941e-14
-14,1.4420833e-14
-14.5,1.4436476e-14
-15,1.4436858e-14
-15.5,1.4481255e-14
-16,1.4488441e-14
-16.5,1.4491487e-14
-17,1.4451372e-14
-17.5,1.4479715e-14
-18,1.439786e-14
-18.5,1.4354382e-14
-19,1.4218888e-14
-19.5,1.3957162e-14
-20,1.3472763e-14
-20.5,1.2753392e-14
-21,1.1884454e-14
-21.5,1.0935718e-14
-22,1.0004692e-14
-22.5,9.1957176e-15
-23,8.4636155e-15
-23.5,7.8490744e-15
-24,7.3345688e-15
-24.5,6.8566096e-15
-25,6.4661616e-15
-25.5,6.0505664e-15
-26,5.7554708e-15
-26.5,5.4621239e-15
-27,5.1833623e-15
-27.5,4.8456118e-15
-28,4.6331748e-15
-28.5,4.4403982e-15
-29,4.1611332e-15
-29.5,4.0492101e-15
-30,3.889829e-15
-30.5,3.7015466e-15
-31,3.6437498e-15
-31.5,3.5095069e-15
-32,3.4460027e-15
-32.5,3.3169228e-15
-33,3.2186597e-15
-33.5,3.1597359e-15
-34,3.0165444e-15
-34.5,3.0142229e-15
-35,2.8738993e-15
-35.5,2.8350157e-15
-36,2.7861782e-15
-36.5,2.738378e-15
-37,2.6960102e-15
-37.5,2.6656507e-15
-38,2.5925448e-15
-38.5,2.5475762e-15
-39,2.5238269e-15
-39.5,2.4796303e-15
-40,2.4479528e-15
-40.5,2.4032705e-15
-41,2.3718217e-15
-41.5,2.3794451e-15
-42,2.3611249e-15
-42.5,2.3213168e-15
-43,2.3210466e-15
-43.5,2.2518515e-15
-44,2.2557453e-15
-44.5,2.2638389e-15
-45,2.2206329e-15
-45.5,2.2137842e-15
-46,2.2105427e-15
-46.5,2.1896454e-15
-47,2.1414034e-15
-47.5,2.1492632e-15
-48,2.1372122e-15
-48.5,2.1261805e-15
-49,2.1292857e-15
-49.5,2.0998194e-15
-50,2.0816837e-15

